POSICION;FECHA;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;VOLUMEN;AJUSTE;VAR %;IA;VAR. IA;TRADES,,,,,,,,,
SOJ.ROS/NOV22;26-10-2021;332,500000;0,000000;0,000000;0,000000;0,000000;0;330,500000;-0,601504;8,000000;0,000000;0
SOJ.ROS/NOV22;27-10-2021;330,500000;0,000000;0,000000;0,000000;0,000000;0;331,500000;0,302572;8,000000;0,000000;0
SOJ.ROS/NOV22;22-10-2021;331,000000;0,000000;0,000000;0,000000;0,000000;0;330,000000;-0,302115;8,000000;0,000000;0
SOJ.ROS/NOV22;25-10-2021;330,000000;0,000000;0,000000;0,000000;0,000000;0;332,500000;0,757576;8,000000;0,000000;0
SOJ.ROS/NOV22;21-10-2021;332,000000;0,000000;0,000000;0,000000;0,000000;0;331,000000;-0,301205;8,000000;0,000000;0
SOJ.ROS/NOV22;19-10-2021;330,000000;0,000000;0,000000;0,000000;0,000000;0;331,000000;0,303030;8,000000;0,000000;0
SOJ.ROS/NOV22;20-10-2021;331,000000;0,000000;0,000000;0,000000;0,000000;0;332,000000;0,302115;8,000000;0,000000;0
SOJ.ROS/NOV22;18-10-2021;328,500000;0,000000;0,000000;0,000000;0,000000;0;330,000000;0,456621;8,000000;0,000000;0
SOJ.ROS/NOV22;15-10-2021;328,000000;0,000000;0,000000;0,000000;0,000000;0;328,500000;0,152439;8,000000;0,000000;0
SOJ.ROS/NOV22;14-10-2021;327,000000;0,000000;0,000000;0,000000;0,000000;0;328,000000;0,305810;8,000000;0,000000;0
SOJ.ROS/NOV22;13-10-2021;326,000000;0,000000;0,000000;0,000000;0,000000;0;327,000000;0,306748;8,000000;0,000000;0
SOJ.ROS/NOV22;12-10-2021;331,500000;0,000000;0,000000;0,000000;0,000000;0;326,000000;-1,659125;8,000000;0,000000;0
SOJ.ROS/NOV22;07-10-2021;330,000000;0,000000;0,000000;0,000000;0,000000;0;331,500000;0,454545;8,000000;0,000000;0
SOJ.ROS/NOV22;06-10-2021;330,500000;0,000000;0,000000;0,000000;0,000000;0;330,000000;-0,151286;8,000000;0,000000;0
SOJ.ROS/NOV22;30-09-2021;328,500000;0,000000;0,000000;0,000000;0,000000;0;327,000000;-0,456621;5,000000;0,000000;0
SOJ.ROS/NOV22;29-09-2021;0,000000;328,500000;328,500000;328,500000;328,500000;5;328,500000;0,000000;5,000000;5,000000;1
SOJ.ROS/NOV22;01-10-2021;327,000000;328,000000;328,000000;328,500000;328,500000;3;328,500000;0,458716;8,000000;3,000000;2
SOJ.ROS/NOV22;05-10-2021;328,500000;0,000000;0,000000;0,000000;0,000000;0;330,500000;0,608828;8,000000;0,000000;0
SOJ.ROS/NOV22;04-10-2021;328,500000;0,000000;0,000000;0,000000;0,000000;0;328,500000;0,000000;8,000000;0,000000;0
SOJ.ROS/NOV22;21-12-2021;336,700000;340,500000;338,600000;340,500000;338,600000;7;338,600000;0,564301;278,000000;1,000000;4
SOJ.ROS/NOV22;20-12-2021;335,900000;336,400000;336,400000;337,900000;337,000000;25;336,700000;0,238166;277,000000;22,000000;13
SOJ.ROS/NOV22;17-12-2021;336,000000;336,500000;336,500000;336,500000;336,500000;2;335,900000;-0,029762;255,000000;2,000000;2
SOJ.ROS/NOV22;16-12-2021;333,700000;335,000000;335,000000;336,600000;336,000000;18;336,000000;0,689242;253,000000;14,000000;13
SOJ.ROS/NOV22;15-12-2021;334,200000;334,000000;333,700000;334,000000;333,700000;6;333,700000;-0,149611;239,000000;6,000000;3
SOJ.ROS/NOV22;14-12-2021;332,500000;334,900000;333,300000;334,900000;333,300000;38;334,200000;0,511278;233,000000;27,000000;11
SOJ.ROS/NOV22;13-12-2021;335,000000;332,500000;332,500000;332,500000;332,500000;3;332,500000;-0,746269;206,000000;1,000000;3
SOJ.ROS/NOV22;10-12-2021;334,200000;334,600000;334,500000;335,000000;335,000000;12;335,000000;0,239378;205,000000;7,000000;8
SOJ.ROS/NOV22;09-12-2021;331,500000;334,500000;334,200000;334,500000;334,200000;9;334,200000;0,814480;198,000000;9,000000;4
SOJ.ROS/NOV22;07-12-2021;332,000000;0,000000;0,000000;0,000000;0,000000;0;331,500000;-0,150602;189,000000;0,000000;0
SOJ.ROS/NOV22;06-12-2021;333,300000;332,000000;332,000000;332,000000;332,000000;5;332,000000;-0,390039;189,000000;0,000000;3
SOJ.ROS/NOV22;01-12-2021;327,700000;330,100000;329,700000;330,100000;330,100000;5;331,000000;1,007019;178,000000;4,000000;5
SOJ.ROS/NOV22;03-12-2021;333,000000;335,100000;334,000000;335,100000;334,400000;23;333,300000;0,090090;189,000000;2,000000;16
SOJ.ROS/NOV22;02-12-2021;331,000000;332,000000;332,000000;333,000000;333,000000;10;333,000000;0,604230;187,000000;9,000000;3
SOJ.ROS/NOV22;26-11-2021;335,000000;0,000000;0,000000;0,000000;0,000000;0;333,000000;-0,597015;164,000000;0,000000;0
SOJ.ROS/NOV22;25-11-2021;336,000000;335,000000;335,000000;335,000000;335,000000;23;335,000000;-0,297619;164,000000;23,000000;2
SOJ.ROS/NOV22;29-11-2021;333,000000;332,700000;332,500000;333,000000;332,500000;13;331,900000;-0,330330;164,000000;0,000000;10
SOJ.ROS/NOV22;30-11-2021;331,900000;329,500000;327,000000;329,500000;327,700000;13;327,700000;-1,265441;174,000000;10,000000;7
SOJ.ROS/NOV22;29-10-2021;331,000000;331,000000;331,000000;331,000000;331,000000;3;331,000000;0,000000;11,000000;0,000000;1
SOJ.ROS/NOV22;01-11-2021;331,000000;332,000000;332,000000;333,000000;333,000000;6;333,000000;0,604230;15,000000;4,000000;6
SOJ.ROS/NOV22;28-10-2021;331,500000;332,000000;331,000000;332,000000;331,000000;5;331,000000;-0,150830;11,000000;3,000000;3
SOJ.ROS/NOV22;02-11-2021;333,000000;333,000000;333,000000;333,000000;333,000000;3;333,000000;0,000000;18,000000;3,000000;3
SOJ.ROS/NOV22;04-11-2021;332,000000;330,000000;330,000000;330,000000;330,000000;6;330,000000;-0,602410;28,000000;5,000000;2
SOJ.ROS/NOV22;03-11-2021;333,000000;332,000000;332,000000;332,000000;332,000000;5;332,000000;-0,300300;23,000000;5,000000;2
SOJ.ROS/NOV22;05-11-2021;330,000000;328,000000;328,000000;328,500000;328,000000;20;328,000000;-0,606061;48,000000;20,000000;14
SOJ.ROS/NOV22;08-11-2021;328,000000;325,000000;325,000000;325,500000;325,000000;47;325,000000;-0,914634;83,000000;35,000000;11
SOJ.ROS/NOV22;10-11-2021;329,000000;329,000000;329,000000;330,000000;330,000000;20;330,000000;0,303951;106,000000;13,000000;13
SOJ.ROS/NOV22;09-11-2021;325,000000;325,000000;325,000000;328,500000;328,500000;12;329,000000;1,230769;93,000000;10,000000;6
SOJ.ROS/NOV22;24-11-2021;334,700000;0,000000;0,000000;0,000000;0,000000;0;336,000000;0,388408;141,000000;0,000000;0
SOJ.ROS/NOV22;23-11-2021;334,500000;334,500000;334,500000;334,500000;334,500000;3;334,700000;0,059791;141,000000;3,000000;1
SOJ.ROS/NOV22;19-11-2021;332,600000;333,000000;333,000000;333,000000;333,000000;2;334,500000;0,571257;138,000000;2,000000;2
SOJ.ROS/NOV22;17-11-2021;332,900000;336,000000;334,500000;336,000000;335,000000;16;335,000000;0,630820;136,000000;14,000000;12
SOJ.ROS/NOV22;18-11-2021;335,000000;334,500000;332,600000;334,500000;332,600000;2;332,600000;-0,716418;136,000000;0,000000;2
SOJ.ROS/NOV22;16-11-2021;334,100000;332,900000;332,900000;332,900000;332,900000;1;332,900000;-0,359174;122,000000;-1,000000;1
SOJ.ROS/NOV22;15-11-2021;332,500000;333,000000;333,000000;333,800000;333,700000;11;334,100000;0,481203;123,000000;7,000000;9
SOJ.ROS/NOV22;11-11-2021;330,000000;330,600000;329,600000;330,600000;329,600000;10;329,600000;-0,121212;116,000000;10,000000;4
SOJ.ROS/NOV22;12-11-2021;329,600000;0,000000;0,000000;0,000000;0,000000;0;332,500000;0,879854;116,000000;0,000000;0
SOJ.ROS/NOV22;13-01-2022;373,900000;370,300000;369,900000;370,300000;369,900000;8;368,500000;-1,444236;570,000000;2,000000;2
SOJ.ROS/NOV22;12-01-2022;370,700000;366,800000;366,800000;373,900000;373,900000;43;373,900000;0,863232;568,000000;4,000000;26
SOJ.ROS/NOV22;14-01-2022;368,500000;368,900000;367,600000;368,900000;368,500000;62;368,500000;0,000000;563,000000;-7,000000;34
SOJ.ROS/NOV22;11-01-2022;372,700000;370,800000;368,800000;373,000000;370,700000;27;370,700000;-0,536625;564,000000;20,000000;15
SOJ.ROS/NOV22;10-01-2022;375,500000;374,800000;372,100000;374,800000;372,700000;33;372,700000;-0,745672;544,000000;19,000000;12
SOJ.ROS/NOV22;07-01-2022;364,500000;366,500000;366,500000;377,100000;375,500000;104;375,500000;3,017833;525,000000;17,000000;51
SOJ.ROS/NOV22;06-01-2022;361,500000;360,000000;359,600000;364,500000;361,000000;100;364,500000;0,829876;508,000000;41,000000;47
SOJ.ROS/NOV22;05-01-2022;360,000000;360,500000;360,000000;362,200000;361,500000;88;361,500000;0,416667;467,000000;61,000000;51
SOJ.ROS/NOV22;04-01-2022;357,000000;359,000000;359,000000;361,500000;360,000000;52;360,000000;0,840336;406,000000;48,000000;26
SOJ.ROS/NOV22;03-01-2022;353,400000;358,000000;357,000000;358,000000;357,000000;10;357,000000;1,018676;358,000000;6,000000;6
SOJ.ROS/NOV22;29-12-2021;353,100000;354,000000;354,000000;354,000000;354,000000;14;354,600000;0,424809;355,000000;14,000000;4
SOJ.ROS/NOV22;30-12-2021;354,600000;353,000000;351,900000;353,000000;351,900000;5;353,400000;-0,338409;352,000000;-3,000000;5
SOJ.ROS/NOV22;23-12-2021;342,000000;343,100000;343,100000;345,500000;344,900000;10;344,700000;0,789474;300,000000;2,000000;10
SOJ.ROS/NOV22;22-12-2021;338,600000;342,200000;342,000000;342,500000;342,000000;29;342,000000;1,004135;298,000000;20,000000;17
SOJ.ROS/NOV22;27-12-2021;344,700000;350,000000;350,000000;351,500000;350,000000;44;352,500000;2,262837;329,000000;29,000000;20
SOJ.ROS/NOV22;28-12-2021;352,500000;352,100000;352,100000;354,100000;353,100000;19;353,100000;0,170213;341,000000;12,000000;15
SOJ.ROS/NOV22;15-09-2022;390,500000;393,000000;390,000000;393,000000;391,500000;648;391,500000;0,256082;6869,000000;-250,000000;264
SOJ.ROS/NOV22;14-09-2022;387,000000;386,500000;384,500000;390,500000;390,500000;773;390,500000;0,904393;7119,000000;-139,000000;353
SOJ.ROS/NOV22;09-09-2022;384,600000;386,000000;383,000000;388,000000;383,000000;724;383,000000;-0,416017;8184,000000;-132,000000;286
SOJ.ROS/NOV22;12-09-2022;383,000000;383,000000;371,000000;386,000000;384,000000;1313;384,000000;0,261097;7750,000000;-434,000000;520
SOJ.ROS/NOV22;13-09-2022;384,000000;385,000000;383,900000;391,000000;387,000000;1082;387,000000;0,781250;7258,000000;-492,000000;443
SOJ.ROS/NOV22;07-09-2022;385,300000;388,000000;383,100000;390,800000;386,500000;396;386,500000;0,311446;8317,000000;-5,000000;170
SOJ.ROS/NOV22;08-09-2022;386,500000;386,000000;384,500000;387,900000;384,600000;651;384,600000;-0,491591;8316,000000;-1,000000;260
SOJ.ROS/NOV22;06-09-2022;385,900000;381,000000;380,500000;387,300000;385,300000;498;385,300000;-0,155481;8322,000000;-50,000000;261
SOJ.ROS/NOV22;05-09-2022;379,500000;384,000000;383,000000;397,500000;384,900000;1229;385,900000;1,686430;8372,000000;345,000000;490
SOJ.ROS/NOV22;23-08-2022;385,500000;390,000000;390,000000;393,500000;391,500000;802;391,500000;1,556420;7731,000000;-17,000000;363
SOJ.ROS/NOV22;09-03-2022;470,000000;473,000000;470,000000;477,000000;470,000000;365;470,000000;0,000000;3265,000000;113,000000;125
SOJ.ROS/NOV22;25-08-2022;390,900000;390,500000;384,000000;391,000000;385,000000;515;385,000000;-1,509337;7831,000000;14,000000;232
SOJ.ROS/NOV22;24-08-2022;391,500000;392,000000;390,000000;394,600000;390,900000;739;390,900000;-0,153257;7817,000000;86,000000;345
SOJ.ROS/NOV22;01-09-2022;383,500000;381,500000;379,000000;382,500000;379,500000;333;379,500000;-1,043025;8027,000000;14,000000;171
SOJ.ROS/NOV22;31-08-2022;386,000000;386,000000;382,000000;386,000000;384,000000;511;383,500000;-0,647668;8013,000000;-1,000000;278
SOJ.ROS/NOV22;30-08-2022;386,000000;387,000000;380,500000;387,000000;386,000000;219;386,000000;0,000000;8014,000000;0,000000;117
SOJ.ROS/NOV22;29-08-2022;392,500000;390,000000;386,000000;391,500000;386,000000;558;386,000000;-1,656051;8014,000000;59,000000;208
SOJ.ROS/NOV22;26-08-2022;385,000000;390,500000;388,500000;392,500000;392,500000;542;392,500000;1,948052;7955,000000;124,000000;229
SOJ.ROS/NOV22;26-07-2022;377,000000;382,000000;380,000000;384,000000;382,600000;569;382,500000;1,458886;8342,000000;-208,000000;272
SOJ.ROS/NOV22;25-07-2022;373,500000;375,000000;375,000000;379,000000;377,000000;347;377,000000;0,937082;8550,000000;69,000000;152
SOJ.ROS/NOV22;22-07-2022;372,500000;376,000000;372,500000;379,000000;373,500000;285;373,500000;0,268456;8481,000000;74,000000;165
SOJ.ROS/NOV22;21-07-2022;377,500000;372,000000;371,600000;376,000000;372,500000;326;372,500000;-1,324503;8407,000000;71,000000;152
SOJ.ROS/NOV22;27-07-2022;382,500000;386,000000;384,500000;389,500000;388,300000;485;388,300000;1,516340;8382,000000;40,000000;240
SOJ.ROS/NOV22;28-07-2022;388,300000;390,000000;390,000000;394,000000;392,300000;494;392,300000;1,030131;8374,000000;-8,000000;245
SOJ.ROS/NOV22;01-08-2022;394,000000;385,000000;383,500000;385,000000;384,500000;299;384,500000;-2,411168;8377,000000;89,000000;157
SOJ.ROS/NOV22;29-07-2022;392,300000;399,500000;392,500000;399,500000;394,000000;684;394,000000;0,433342;8288,000000;-86,000000;358
SOJ.ROS/NOV22;02-08-2022;384,500000;381,500000;379,500000;382,500000;382,500000;310;382,500000;-0,520156;8381,000000;4,000000;156
SOJ.ROS/NOV22;03-08-2022;382,500000;382,000000;379,000000;383,000000;380,000000;207;380,000000;-0,653595;8360,000000;-21,000000;111
SOJ.ROS/NOV22;04-08-2022;380,000000;385,000000;385,000000;387,000000;386,500000;277;386,500000;1,710526;8288,000000;-72,000000;146
SOJ.ROS/NOV22;05-08-2022;386,500000;385,500000;383,500000;386,000000;384,000000;406;384,000000;-0,646831;8316,000000;28,000000;230
SOJ.ROS/NOV22;08-08-2022;384,000000;385,000000;382,400000;386,000000;385,500000;459;385,500000;0,390625;8297,000000;-19,000000;247
SOJ.ROS/NOV22;12-08-2022;397,500000;398,000000;393,000000;399,500000;396,000000;568;396,200000;-0,327044;7767,000000;-95,000000;260
SOJ.ROS/NOV22;11-08-2022;392,400000;395,000000;395,000000;398,000000;397,500000;989;397,500000;1,299694;7862,000000;-194,000000;410
SOJ.ROS/NOV22;09-08-2022;385,500000;391,000000;390,900000;393,500000;392,500000;596;392,500000;1,815824;8217,000000;-80,000000;271
SOJ.ROS/NOV22;10-08-2022;392,500000;392,500000;392,100000;398,000000;392,100000;848;392,400000;-0,025478;8056,000000;-161,000000;360
SOJ.ROS/NOV22;17-08-2022;381,700000;382,000000;381,400000;385,500000;383,500000;287;383,500000;0,471575;7812,000000;37,000000;161
SOJ.ROS/NOV22;16-08-2022;396,200000;384,000000;380,500000;384,000000;381,700000;194;381,700000;-3,659768;7775,000000;8,000000;125
SOJ.ROS/NOV22;18-08-2022;383,500000;383,400000;383,400000;387,300000;383,500000;181;384,000000;0,130378;7799,000000;-13,000000;122
SOJ.ROS/NOV22;19-08-2022;384,000000;382,000000;382,000000;385,000000;384,500000;177;384,500000;0,130208;7781,000000;-18,000000;95
SOJ.ROS/NOV22;22-08-2022;384,500000;384,500000;384,500000;389,000000;385,500000;584;385,500000;0,260078;7748,000000;-33,000000;244
SOJ.ROS/NOV22;08-07-2022;382,800000;385,000000;385,000000;393,000000;392,500000;612;392,500000;2,533960;8294,000000;-75,000000;308
SOJ.ROS/NOV22;11-07-2022;392,500000;395,000000;393,000000;397,500000;393,000000;545;393,000000;0,127389;8386,000000;92,000000;298
SOJ.ROS/NOV22;12-07-2022;393,000000;387,500000;381,500000;387,900000;381,500000;311;381,500000;-2,926209;8436,000000;50,000000;161
SOJ.ROS/NOV22;14-07-2022;383,100000;381,000000;379,500000;384,000000;383,000000;461;383,000000;-0,026103;8453,000000;44,000000;227
SOJ.ROS/NOV22;13-07-2022;381,500000;382,000000;382,000000;385,500000;382,900000;199;383,100000;0,419397;8409,000000;-27,000000;120
SOJ.ROS/NOV22;15-07-2022;383,000000;382,500000;380,500000;383,000000;381,500000;357;381,500000;-0,391645;8404,000000;-49,000000;163
SOJ.ROS/NOV22;18-07-2022;381,500000;390,000000;385,000000;390,000000;385,500000;411;385,500000;1,048493;8434,000000;30,000000;195
